loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,loan_status
21000,21000,20570.59809, 60 months,11.86%,465.65,B,B5,Fully Paid
6000,6000,6000.0, 36 months,14.96%,207.88,D,D2,Fully Paid
4900,4900,4400.0, 36 months,12.68%,164.35,C,C1,Fully Paid
8000,8000,7500.0, 36 months,9.25%,255.33,B,B2,Fully Paid
10000,10000,9975.0, 36 months,6.03%,304.36,A,A1,Fully Paid
7000,7000,6750.0, 36 months,7.49%,217.72,A,A4,Fully Paid
10000,10000,10000.0, 60 months,18.67%,257.6,F,F2,Fully Paid
11000,11000,10925.0, 36 months,12.73%,369.23,C,C1,Fully Paid
10000,10000,9875.0, 36 months,7.51%,311.1,A,A4,Fully Paid
1400,1400,1400.0, 36 months,15.62%,48.96,D,D1,Fully Paid
14350,14350,14300.0, 36 months,9.99%,462.97,B,B1,Fully Paid
4500,4500,4206.231528, 36 months,7.29%,139.55,A,A4,Fully Paid
22000,22000,21977.14272, 60 months,14.17%,513.85,C,C5,Fully Paid
30000,30000,30000.0, 36 months,11.71%,992.28,B,B3,Fully Paid
20000,12400,12275.0, 60 months,9.99%,263.41,B,B4,Fully Paid
7200,7200,7200.0, 36 months,7.29%,223.28,A,A4,Fully Paid
8500,8500,8500.0, 60 months,13.06%,193.67,C,C2,Fully Paid
7000,7000,7000.0, 36 months,6.62%,214.93,A,A2,Fully Paid
15000,15000,14864.31153, 36 months,11.48%,494.53,B,B2,Fully Paid
15400,15400,15400.0, 36 months,11.36%,506.84,B,B5,Fully Paid
18000,18000,18000.0, 36 months,11.83%,596.41,B,B3,Fully Paid
5000,5000,5000.0, 36 months,9.99%,161.32,B,B4,Fully Paid
8000,8000,8000.0, 36 months,11.99%,265.68,B,B5,Fully Paid
4000,4000,4000.0, 60 months,16.69%,98.75,E,E3,Fully Paid
7000,7000,7000.0, 36 months,7.29%,217.07,A,A4,Fully Paid
9000,9000,775.0, 36 months,11.22%,295.59,C,C4,Fully Paid
13000,13000,12475.0, 36 months,14.46%,447.22,D,D2,Fully Paid
20000,20000,19975.0, 60 months,14.27%,468.17,C,C2,Fully Paid
1500,1500,1500.0, 36 months,7.14%,46.41,A,A3,Fully Paid
5600,5600,5600.0, 36 months,10.59%,182.26,B,B2,Fully Paid
22500,22500,22375.0, 36 months,18.99%,824.65,F,F3,Fully Paid
6000,6000,5975.0, 36 months,12.87%,201.8,C,C1,Fully Paid
1325,1325,1325.0, 36 months,14.79%,45.8,C,C4,Fully Paid
4000,4000,4000.0, 36 months,10.37%,129.77,B,B3,Fully Paid
6000,6000,6000.0, 36 months,15.27%,208.79,C,C4,Fully Paid
9250,9250,8733.44, 36 months,10.75%,301.74,B,B2,Fully Paid
7500,7500,7200.0, 36 months,12.21%,249.87,B,B5,Fully Paid
12000,12000,11750.0, 36 months,9.91%,386.7,B,B1,Fully Paid
6000,6000,5811.545475, 36 months,7.51%,186.67,A,A4,Fully Paid
22400,22400,22400.0, 60 months,14.17%,523.19,C,C5,Fully Paid
8000,8000,6085.497882, 36 months,15.05%,277.53,D,D4,Fully Paid
30000,30000,30000.0, 36 months,19.03%,1100.14,E,E2,Fully Paid
16000,6125,4010.843351, 36 months,16.00%,215.34,E,E2,Fully Paid
10000,10000,10000.0, 36 months,13.49%,339.31,C,C1,Fully Paid
4200,4200,4200.0, 36 months,6.03%,127.83,A,A1,Fully Paid
20000,20000,20000.0, 36 months,14.54%,688.81,D,D1,Fully Paid
11300,11300,11050.0, 36 months,10.65%,368.08,B,B2,Fully Paid
20000,20000,19675.0, 36 months,10.37%,648.83,B,B3,Fully Paid
14000,14000,14000.0, 36 months,6.62%,429.86,A,A2,Fully Paid
16750,16750,16750.0, 36 months,15.20%,582.29,D,D4,Fully Paid
5000,5000,5000.0, 36 months,7.74%,156.1,A,A3,Fully Paid
2800,2800,2800.0, 36 months,13.49%,95.01,C,C1,Fully Paid
20000,20000,19730.76, 36 months,17.58%,718.84,F,F2,Fully Paid
5800,5800,5700.0, 36 months,7.88%,181.44,A,A5,Fully Paid
10000,10000,9975.0, 36 months,12.99%,336.9,C,C1,Fully Paid
15000,15000,15000.0, 36 months,10.37%,486.62,B,B3,Fully Paid
16500,16500,16500.0, 36 months,16.77%,586.39,D,D2,Fully Paid
8000,8000,4448.382044, 36 months,13.47%,271.39,C,C4,Fully Paid
1400,1400,1400.0, 60 months,13.80%,32.44,C,C4,Fully Paid
17000,17000,17000.0, 36 months,6.03%,517.41,A,A1,Fully Paid
5000,5000,4950.0, 60 months,7.29%,99.7,A,A4,Fully Paid
4800,4075,4075.0, 36 months,5.99%,123.96,A,A2,Fully Paid
3800,3800,3800.0, 36 months,18.25%,137.86,D,D5,Fully Paid
14725,14725,14725.0, 36 months,19.41%,542.86,F,F4,Fully Paid
5000,5000,5000.0, 36 months,11.49%,164.86,B,B4,Fully Paid
20000,20000,19975.0, 60 months,10.74%,432.26,B,B4,Fully Paid
8000,8000,7900.0, 36 months,13.22%,270.41,C,C2,Fully Paid
5000,5000,4988.974141, 36 months,7.40%,155.3,A,A2,Fully Paid
5600,5600,5600.0, 36 months,7.49%,174.17,A,A4,Fully Paid
2000,2000,2000.0, 60 months,10.62%,43.11,B,B3,Fully Paid
4325,4325,4325.0, 36 months,11.11%,141.83,B,B5,Fully Paid
12000,12000,11925.0, 60 months,9.99%,254.91,B,B4,Fully Paid
4000,4000,4000.0, 36 months,16.45%,141.51,E,E1,Fully Paid
12800,12800,12550.0, 36 months,11.49%,422.04,B,B4,Fully Paid
4500,4500,4500.0, 36 months,7.14%,139.24,A,A3,Fully Paid
5000,5000,2079.300052, 36 months,12.72%,167.8,C,C4,Fully Paid
12000,12000,12000.0, 36 months,8.90%,381.04,A,A5,Fully Paid
3000,3000,3000.0, 36 months,10.99%,98.21,B,B3,Fully Paid
1000,1000,1000.0, 36 months,10.95%,32.72,B,B1,Fully Paid
15000,15000,14975.0, 36 months,13.57%,509.53,C,C3,Fully Paid
20000,13225,12975.0, 60 months,10.99%,287.48,B,B3,Fully Paid
6000,6000,5975.0, 36 months,8.00%,188.02,A,A3,Fully Paid
6500,6500,6500.0, 36 months,10.99%,212.78,B,B3,Fully Paid
3000,3000,3000.0, 36 months,11.99%,99.63,B,B5,Fully Paid
18000,18000,17500.0, 36 months,10.38%,584.03,B,B1,Fully Paid
6000,6000,5750.0, 36 months,9.91%,193.35,B,B1,Fully Paid
3500,3500,3080.41, 36 months,11.97%,116.2,C,C4,Fully Paid
5000,5000,4650.0, 36 months,7.88%,156.41,A,A5,Fully Paid
6400,6400,6392.997706, 36 months,7.90%,200.26,A,A4,Fully Paid
10400,10400,10400.0, 60 months,10.59%,224.01,B,B2,Fully Paid
2400,2400,2400.0, 60 months,9.91%,50.89,B,B1,Fully Paid
11325,11325,11325.0, 36 months,12.69%,379.9,B,B5,Fully Paid
7000,7000,7000.0, 60 months,13.80%,162.16,C,C4,Fully Paid
25000,25000,25000.0, 36 months,13.49%,848.27,C,C1,Fully Paid
8400,8400,8400.0, 36 months,6.62%,257.92,A,A2,Fully Paid
20000,20000,19925.0, 36 months,12.53%,669.33,B,B5,Fully Paid
21250,21250,19257.7746, 36 months,15.95%,746.57,D,D4,Fully Paid
20000,20000,20000.0, 36 months,13.48%,678.52,C,C3,Fully Paid
6400,6400,6400.0, 36 months,11.49%,211.02,B,B4,Fully Paid
14400,14400,13875.0, 36 months,10.75%,469.74,B,B2,Fully Paid
20000,20000,16089.44834, 36 months,17.39%,716.95,E,E4,Fully Paid
7000,7000,7000.0, 36 months,13.99%,239.21,C,C3,Fully Paid
9000,9000,9000.0, 36 months,5.79%,272.95,A,A2,Fully Paid
5000,5000,5000.0, 36 months,5.42%,150.8,A,A1,Fully Paid
9600,9600,9550.0, 36 months,9.91%,309.36,B,B1,Fully Paid
16000,16000,16000.0, 60 months,16.89%,396.7,D,D4,Fully Paid
27175,27175,27175.0, 36 months,8.49%,857.73,A,A5,Fully Paid
8800,8800,656.15, 36 months,9.33%,281.2,B,B3,Fully Paid
15000,15000,15000.0, 36 months,15.27%,521.97,C,C4,Fully Paid
13000,13000,12875.0, 36 months,13.57%,441.6,C,C3,Fully Paid
12000,12000,12000.0, 36 months,10.36%,389.24,B,B5,Fully Paid
35000,35000,34875.0, 60 months,22.35%,973.64,F,F5,Fully Paid
10000,10000,10000.0, 36 months,7.51%,311.1,A,A4,Fully Paid
10000,10000,10000.0, 36 months,7.66%,311.8,A,A5,Fully Paid
19200,19200,19150.8729, 36 months,11.48%,633.0,B,B2,Fully Paid
6400,6400,6350.0, 36 months,16.00%,225.01,E,E2,Fully Paid
7200,7200,5925.0, 36 months,10.71%,234.74,B,B5,Fully Paid
9000,9000,8950.0, 36 months,9.32%,287.53,A,A4,Fully Paid
15000,15000,15000.0, 36 months,7.66%,467.7,A,A5,Fully Paid
20000,20000,9323.749106, 36 months,14.11%,684.58,D,D1,Fully Paid
12000,12000,11969.09516, 36 months,13.98%,410.02,C,C3,Fully Paid
3600,3600,3575.0, 36 months,6.91%,111.01,A,A5,Fully Paid
7000,7000,7000.0, 60 months,13.80%,162.16,C,C4,Fully Paid
8000,8000,8000.0, 36 months,7.51%,248.89,A,A4,Fully Paid
7750,7750,7750.0, 36 months,10.37%,251.42,B,B3,Fully Paid
3600,3600,3600.0, 36 months,5.99%,109.51,A,A2,Fully Paid
5000,5000,5000.0, 36 months,14.27%,171.55,C,C2,Fully Paid
10800,10800,7575.0, 36 months,12.21%,359.81,B,B5,Fully Paid
9000,9000,9000.0, 36 months,14.54%,309.97,D,D1,Fully Paid
16000,16000,16000.0, 36 months,6.03%,486.97,A,A1,Fully Paid
6400,6400,6156.551129, 36 months,11.89%,212.25,B,B4,Fully Paid
3300,3300,3300.0, 36 months,15.65%,115.45,D,D4,Fully Paid
8000,8000,8000.0, 36 months,5.99%,243.34,A,A2,Fully Paid
3000,2000,677.63, 36 months,10.33%,64.85,B,B3,Fully Paid
6700,6700,6700.0, 36 months,6.03%,203.92,A,A1,Fully Paid
7000,7000,7000.0, 36 months,13.49%,237.52,C,C1,Fully Paid
6000,6000,6000.0, 36 months,6.03%,182.62,A,A1,Fully Paid
6000,6000,5850.0, 36 months,12.53%,200.8,C,C1,Fully Paid
5000,5000,4900.0, 36 months,7.74%,156.1,A,A3,Fully Paid
12000,12000,11725.0, 36 months,9.32%,383.37,A,A4,Fully Paid
12000,12000,12000.0, 36 months,13.35%,406.36,C,C4,Fully Paid
10000,10000,8291.66, 36 months,12.21%,333.15,B,B5,Fully Paid
6500,6500,6500.0, 36 months,5.79%,197.13,A,A2,Fully Paid
12000,12000,12000.0, 36 months,11.99%,398.52,B,B5,Fully Paid
18000,18000,14583.67498, 36 months,11.58%,594.25,B,B3,Fully Paid
5000,5000,5000.0, 36 months,7.49%,155.51,A,A4,Fully Paid
20000,20000,20000.0, 36 months,14.54%,688.81,D,D1,Fully Paid
25000,15725,15400.0, 36 months,10.36%,510.07,B,B5,Fully Paid
1500,1500,1500.0, 36 months,16.32%,52.98,D,D5,Fully Paid
4000,4000,3738.976104, 36 months,7.88%,125.13,A,A5,Fully Paid
14000,14000,14000.0, 60 months,18.64%,360.41,E,E1,Fully Paid
7200,7200,7150.0, 36 months,12.73%,241.67,C,C1,Fully Paid
20000,20000,13650.57843, 36 months,12.84%,672.36,C,C2,Fully Paid
21000,13225,12491.35959, 60 months,11.49%,290.79,B,B4,Fully Paid
20000,12525,12350.0, 60 months,9.99%,266.06,B,B4,Fully Paid
9000,9000,9000.0, 36 months,16.77%,319.85,D,D2,Fully Paid
3000,3000,3000.0, 36 months,15.99%,105.46,D,D2,Fully Paid
7200,7200,7200.0, 60 months,14.91%,170.95,D,D2,Fully Paid
5500,5500,5400.0, 36 months,9.88%,177.16,B,B1,Fully Paid
5575,5575,5575.0, 36 months,15.20%,193.81,D,D4,Fully Paid
3200,3200,0.0, 36 months,7.37%,99.35,A,A1,Fully Paid
20000,20000,17100.0, 36 months,11.58%,660.27,B,B3,Fully Paid
10000,10000,9800.0, 36 months,9.63%,320.95,A,A5,Fully Paid
6000,6000,6000.0, 36 months,12.69%,201.27,B,B5,Fully Paid
13000,13000,12975.0, 36 months,17.93%,469.53,E,E5,Fully Paid
25000,25000,24975.0, 60 months,15.95%,607.29,D,D4,Fully Paid
3000,3000,3000.0, 36 months,15.21%,104.31,D,D2,Fully Paid
20125,20125,20100.0, 60 months,19.42%,526.72,E,E3,Fully Paid
6250,6250,6250.0, 36 months,7.88%,195.51,A,A5,Fully Paid
3000,3000,3000.0, 36 months,5.42%,90.48,A,A1,Fully Paid
33600,33600,33575.0, 60 months,19.36%,878.28,F,F4,Fully Paid
14000,14000,14000.0, 36 months,16.45%,495.29,E,E1,Fully Paid
4000,4000,4000.0, 60 months,16.32%,97.96,D,D5,Fully Paid
4500,4500,4500.0, 36 months,11.83%,149.11,B,B3,Fully Paid
12000,12000,11975.0, 36 months,5.79%,363.93,A,A2,Fully Paid
12000,12000,12000.0, 36 months,9.91%,386.7,B,B1,Fully Paid
9000,9000,9000.0, 36 months,13.06%,303.51,C,C2,Fully Paid
15000,15000,14750.0, 36 months,15.99%,527.29,D,D2,Fully Paid
11300,11300,11300.0, 36 months,9.99%,364.57,B,B1,Fully Paid
30000,30000,29883.87111, 36 months,10.99%,982.02,B,B3,Fully Paid
6000,6000,6000.0, 60 months,13.06%,136.71,C,C2,Fully Paid
7600,7600,7600.0, 36 months,6.99%,234.64,A,A3,Fully Paid
6500,6500,6500.0, 36 months,5.42%,196.04,A,A1,Fully Paid
15000,15000,13917.97389, 36 months,8.94%,476.58,A,A5,Fully Paid
11500,11500,11398.13905, 36 months,7.88%,359.74,A,A5,Fully Paid
4000,4000,4000.0, 36 months,7.40%,124.24,A,A2,Fully Paid
2100,2100,1075.0, 36 months,8.38%,66.18,A,A5,Fully Paid
14125,14125,14125.0, 36 months,6.62%,433.69,A,A2,Fully Paid
11500,11500,10500.0, 36 months,7.88%,359.73,A,A5,Fully Paid
7750,7750,7600.0, 36 months,9.32%,247.59,A,A4,Fully Paid
15000,15000,15000.0, 36 months,13.49%,508.96,C,C1,Fully Paid
4000,4000,4000.0, 36 months,13.98%,136.68,C,C3,Fully Paid
5000,5000,5000.0, 36 months,10.99%,163.68,B,B4,Fully Paid
6000,6000,6000.0, 36 months,7.88%,187.69,A,A5,Fully Paid
12000,12000,11730.94603, 36 months,7.29%,372.12,A,A4,Fully Paid
14000,14000,13950.0, 60 months,10.65%,301.96,B,B2,Fully Paid
5000,5000,5000.0, 36 months,10.25%,161.93,B,B2,Fully Paid
4800,4800,4800.0, 36 months,7.90%,150.2,A,A4,Fully Paid
12000,12000,10958.1765, 36 months,5.42%,361.92,A,A1,Fully Paid
12000,12000,12000.0, 36 months,15.99%,421.83,D,D2,Fully Paid
15000,15000,15000.0, 36 months,14.22%,514.27,C,C5,Fully Paid
5000,5000,5000.0, 36 months,12.53%,167.34,B,B5,Fully Paid
9000,9000,9000.0, 36 months,6.03%,273.92,A,A1,Fully Paid
2000,2000,2000.0, 36 months,12.18%,66.6,B,B4,Fully Paid
3600,3600,3600.0, 60 months,10.75%,77.83,B,B2,Fully Paid
25000,25000,24859.0173, 60 months,13.80%,579.12,C,C4,Fully Paid
3000,3000,3000.0, 36 months,7.49%,93.31,A,A4,Fully Paid
12000,12000,11875.0, 36 months,9.63%,385.14,A,A5,Fully Paid
16000,16000,15825.0, 36 months,11.14%,524.86,B,B1,Fully Paid
15000,10025,5025.0, 36 months,6.17%,305.76,A,A3,Fully Paid
6300,6300,6300.0, 36 months,11.99%,209.23,B,B5,Fully Paid
2075,2075,2075.0, 36 months,7.88%,64.91,A,A5,Fully Paid
25000,25000,24975.0, 60 months,12.98%,568.58,C,C3,Fully Paid
18000,18000,17975.0, 60 months,17.51%,452.3,E,E4,Fully Paid
20000,20000,19750.0, 60 months,11.71%,441.97,B,B3,Fully Paid
8000,8000,8000.0, 36 months,5.42%,241.28,A,A1,Fully Paid
25000,25000,25000.0, 60 months,13.49%,575.12,C,C2,Fully Paid
35000,35000,34975.0, 60 months,17.27%,874.93,D,D3,Fully Paid
10800,10800,10775.0, 60 months,15.95%,262.35,D,D4,Fully Paid
20000,20000,19950.0, 60 months,16.40%,490.63,E,E1,Fully Paid
22250,22250,22200.0, 36 months,12.42%,743.49,B,B4,Fully Paid
2000,2000,2000.0, 36 months,11.11%,65.59,B,B5,Fully Paid
18000,18000,12514.59348, 36 months,12.53%,602.4,C,C1,Fully Paid
5000,5000,5000.0, 36 months,6.76%,153.85,A,A2,Fully Paid
35000,35000,35000.0, 36 months,8.90%,1111.37,A,A5,Fully Paid
1600,1600,1600.0, 36 months,10.99%,52.38,B,B3,Fully Paid
7200,7200,3662.729638, 36 months,14.74%,248.67,D,D3,Fully Paid
10550,10550,10525.0, 60 months,9.99%,224.11,B,B4,Fully Paid
16750,16750,16750.0, 36 months,7.88%,523.96,A,A5,Fully Paid
4800,4800,4800.0, 36 months,12.73%,161.12,C,C1,Fully Paid
18000,18000,18000.0, 36 months,16.29%,635.41,D,D1,Fully Paid
5525,5525,5525.0, 36 months,6.99%,170.58,A,A3,Fully Paid
6000,6000,6000.0, 36 months,14.91%,207.73,D,D2,Fully Paid
15000,15000,14750.0, 36 months,8.49%,473.45,A,A5,Fully Paid
8000,8000,8000.0, 36 months,12.99%,269.52,C,C1,Fully Paid
28000,28000,28000.0, 60 months,14.91%,664.8,D,D2,Fully Paid
16000,16000,1800.0, 36 months,14.18%,548.25,E,E1,Fully Paid
7000,7000,7000.0, 36 months,11.11%,229.54,B,B5,Fully Paid
12000,12000,12000.0, 36 months,10.99%,392.81,B,B3,Fully Paid
14000,14000,14000.0, 36 months,17.58%,503.19,D,D4,Fully Paid
12000,12000,11950.0, 60 months,13.61%,276.8,C,C2,Fully Paid
15000,15000,13606.79, 36 months,16.32%,529.71,E,E3,Fully Paid
1700,1700,1700.0, 36 months,16.77%,60.42,D,D2,Fully Paid
11500,11500,10400.0, 36 months,7.88%,359.73,A,A5,Fully Paid
3000,3000,3000.0, 36 months,7.68%,93.58,A,A2,Fully Paid
4000,4000,4000.0, 36 months,7.51%,124.44,A,A4,Fully Paid
13000,13000,12950.0, 36 months,5.42%,392.08,A,A1,Fully Paid
6000,6000,5975.0, 36 months,7.40%,186.36,A,A2,Fully Paid
25000,25000,22601.76925, 36 months,10.25%,809.62,B,B2,Fully Paid
12250,12250,12208.97236, 36 months,14.72%,422.98,C,C5,Fully Paid
15000,9350,9275.0, 60 months,9.25%,195.23,B,B2,Fully Paid
30000,30000,29943.60846, 36 months,6.62%,921.11,A,A2,Fully Paid
11000,11000,10750.0, 36 months,11.71%,363.84,B,B3,Fully Paid
10625,10625,10625.0, 36 months,5.42%,320.45,A,A1,Fully Paid
9500,9500,9425.0, 36 months,10.38%,308.24,B,B1,Fully Paid
9000,9000,8950.0, 36 months,12.21%,299.84,B,B5,Fully Paid
16000,16000,15025.0, 36 months,11.89%,530.63,B,B4,Fully Paid
26000,26000,25750.0, 36 months,8.49%,820.64,A,A5,Fully Paid
20000,20000,19700.0, 60 months,9.99%,424.85,B,B1,Fully Paid
10000,10000,9975.0, 60 months,15.95%,242.92,D,D4,Fully Paid
25000,25000,24878.99295, 60 months,14.91%,593.57,D,D2,Fully Paid
10000,10000,10000.0, 60 months,13.43%,229.74,C,C3,Fully Paid
16000,16000,15750.0, 60 months,11.99%,355.84,B,B5,Fully Paid
12000,12000,12000.0, 60 months,20.30%,319.94,E,E5,Fully Paid
10000,10000,10000.0, 36 months,10.37%,324.42,B,B3,Fully Paid
6000,6000,5975.0, 36 months,9.63%,192.57,A,A5,Fully Paid
7200,7200,7200.0, 36 months,12.68%,241.49,C,C1,Fully Paid
10000,10000,1325.0, 36 months,13.47%,339.23,C,C4,Fully Paid
24000,15200,14979.30305, 60 months,9.99%,322.89,B,B4,Fully Paid
13000,13000,12975.0, 36 months,13.06%,438.4,C,C2,Fully Paid
14975,14975,14975.0, 36 months,6.03%,455.78,A,A1,Fully Paid
13600,13600,13600.0, 60 months,18.64%,350.11,E,E1,Fully Paid
7200,7200,7200.0, 36 months,9.62%,231.05,B,B3,Fully Paid
6400,6400,6300.0, 36 months,7.40%,198.78,A,A2,Fully Paid
3200,3200,3200.0, 36 months,8.49%,101.01,A,A5,Fully Paid
9000,9000,8850.0, 36 months,7.29%,279.09,A,A4,Fully Paid
4500,4500,4500.0, 36 months,16.02%,158.26,D,D5,Fully Paid
8000,8000,8000.0, 36 months,11.49%,263.78,B,B4,Fully Paid
5000,5000,784.3, 36 months,8.63%,158.14,A,A5,Fully Paid
5375,5375,2975.0, 36 months,10.51%,174.73,B,B2,Fully Paid
15000,15000,14925.0, 36 months,11.48%,494.53,B,B2,Fully Paid
9200,9200,9200.0, 36 months,15.68%,322.02,E,E1,Fully Paid
11475,11475,11425.0, 36 months,13.72%,390.63,C,C5,Fully Paid
7000,7000,7000.0, 36 months,14.96%,242.53,D,D2,Fully Paid
15000,15000,15000.0, 36 months,11.49%,494.57,B,B4,Fully Paid
6250,6250,6233.993329, 36 months,5.79%,189.55,A,A2,Fully Paid
3000,3000,511.55, 36 months,11.22%,98.53,C,C4,Fully Paid
10000,10000,9800.0, 36 months,11.83%,331.34,B,B3,Fully Paid
5000,5000,5000.0, 36 months,6.62%,153.52,A,A2,Fully Paid
9975,9975,9950.0, 36 months,13.11%,336.61,C,C2,Fully Paid
12800,12800,4689.93, 36 months,9.45%,409.73,B,B1,Fully Paid
7000,7000,6650.0, 36 months,11.89%,232.15,B,B4,Fully Paid
12000,12000,12000.0, 36 months,14.27%,411.71,C,C2,Fully Paid
4550,4550,4550.0, 36 months,15.23%,158.25,C,C5,Fully Paid
5000,5000,5000.0, 36 months,7.51%,155.56,A,A4,Fully Paid
8000,8000,8000.0, 36 months,7.88%,250.25,A,A5,Fully Paid
6000,6000,6000.0, 36 months,7.51%,186.67,A,A3,Fully Paid
30000,30000,30000.0, 36 months,9.91%,966.75,B,B1,Fully Paid
4000,4000,4000.0, 36 months,8.90%,127.02,A,A5,Fully Paid
3500,3500,3500.0, 36 months,7.88%,109.49,A,A5,Fully Paid
4000,4000,3925.0, 36 months,9.45%,128.04,B,B1,Fully Paid
30000,30000,30000.0, 36 months,6.62%,921.11,A,A2,Fully Paid
6000,6000,6000.0, 36 months,7.49%,186.61,A,A4,Fully Paid
8400,8400,8375.0, 36 months,14.84%,290.54,D,D1,Fully Paid
20000,20000,19500.0, 36 months,10.37%,648.83,B,B3,Fully Paid
6000,6000,5983.873723, 36 months,5.42%,180.96,A,A1,Fully Paid
18225,18225,18175.0, 36 months,10.00%,588.07,B,B2,Fully Paid
7750,7750,7750.0, 36 months,11.86%,256.9,B,B5,Fully Paid
12800,12800,12775.0, 36 months,12.73%,429.65,C,C1,Fully Paid
25000,25000,25000.0, 36 months,15.27%,869.95,C,C4,Fully Paid
25000,25000,25000.0, 60 months,24.11%,720.8,G,G5,Fully Paid
15000,15000,14913.55655, 36 months,7.88%,469.22,A,A5,Fully Paid
7000,7000,6975.0, 36 months,8.00%,219.36,A,A3,Fully Paid
4750,4750,4725.0, 36 months,12.73%,159.44,C,C1,Fully Paid
20000,20000,19950.0, 36 months,13.99%,683.46,C,C3,Fully Paid
20000,20000,19973.53284, 36 months,6.91%,616.72,A,A5,Fully Paid
20000,20000,19620.54702, 36 months,10.99%,654.71,B,B4,Fully Paid
12000,12000,11854.03973, 36 months,14.74%,414.45,D,D3,Fully Paid
6000,6000,6000.0, 36 months,10.25%,194.31,B,B2,Fully Paid
3025,3025,3025.0, 36 months,9.99%,97.6,B,B1,Fully Paid
15000,15000,14925.0, 36 months,9.88%,483.16,B,B1,Fully Paid
5600,5600,5550.0, 36 months,11.14%,183.7,B,B1,Fully Paid
16000,16000,16000.0, 36 months,6.62%,491.26,A,A2,Fully Paid
4500,4500,4300.0, 36 months,6.39%,137.7,A,A1,Fully Paid
9000,9000,5312.202529, 36 months,12.53%,301.2,C,C1,Fully Paid
12000,12000,11975.0, 60 months,14.83%,284.41,D,D3,Fully Paid
8400,8400,8400.0, 36 months,11.99%,278.97,B,B5,Fully Paid
16000,16000,15975.0, 36 months,8.88%,507.91,B,B1,Fully Paid
3200,3200,3200.0, 36 months,15.23%,111.29,C,C5,Fully Paid
35000,35000,34266.22969, 36 months,7.29%,1085.35,A,A4,Fully Paid
4500,4500,4500.0, 60 months,11.99%,100.08,B,B5,Fully Paid
10000,10000,10000.0, 36 months,14.27%,343.09,C,C2,Fully Paid
3500,3500,3500.0, 36 months,14.27%,120.09,C,C2,Fully Paid
10000,10000,9875.0, 36 months,7.88%,312.82,A,A5,Fully Paid
4400,4400,4400.0, 36 months,11.49%,145.08,B,B4,Fully Paid
20000,20000,19494.9551, 36 months,7.88%,625.63,A,A5,Fully Paid
12000,12000,12000.0, 36 months,14.83%,414.99,D,D3,Fully Paid
10000,10000,9991.532157, 36 months,13.48%,339.25,C,C3,Fully Paid
4375,4375,4325.0, 36 months,6.62%,134.33,A,A2,Fully Paid
20000,20000,20000.0, 60 months,17.88%,506.57,E,E5,Fully Paid
2800,2800,2536.86685, 36 months,7.40%,86.97,A,A2,Fully Paid
25000,25000,23465.00019, 60 months,16.69%,617.16,E,E3,Fully Paid
7000,7000,7000.0, 36 months,7.66%,218.26,A,A5,Fully Paid
6000,6000,6000.0, 60 months,15.95%,145.75,D,D4,Fully Paid
14000,14000,14000.0, 36 months,6.92%,431.77,A,A3,Fully Paid
5000,5000,5000.0, 36 months,7.14%,154.7,A,A3,Fully Paid
8000,8000,8000.0, 36 months,16.89%,284.79,D,D4,Fully Paid
10000,10000,9700.0, 36 months,7.68%,311.91,A,A2,Fully Paid
18000,12325,12300.0, 60 months,16.45%,302.68,E,E1,Fully Paid
9000,9000,758.48, 36 months,10.91%,294.27,C,C3,Fully Paid
6300,6300,6300.0, 60 months,16.40%,154.55,E,E1,Fully Paid
10000,10000,9825.0, 36 months,12.21%,333.15,B,B5,Fully Paid
12000,12000,12000.0, 36 months,7.91%,375.54,A,A4,Fully Paid
8000,8000,7948.407349, 36 months,11.86%,265.18,B,B5,Fully Paid
2000,2000,2000.0, 36 months,7.29%,62.02,A,A4,Fully Paid
4000,4000,4000.0, 36 months,12.21%,133.26,B,B5,Fully Paid
7000,5300,684.1351295, 36 months,11.66%,175.18,C,C3,Fully Paid
26000,26000,25975.0, 60 months,15.23%,621.69,C,C5,Fully Paid
10000,10000,10000.0, 36 months,13.99%,341.73,C,C3,Fully Paid
14400,14400,14125.0, 36 months,8.49%,454.51,A,A5,Fully Paid
24000,24000,23998.81928, 36 months,10.74%,782.78,B,B4,Fully Paid
6000,6000,6000.0, 36 months,9.63%,192.57,B,B1,Fully Paid
10000,10000,275.0, 36 months,10.28%,323.99,C,C1,Fully Paid
10050,10050,10025.0, 36 months,9.63%,322.55,B,B1,Fully Paid
10000,10000,9375.0, 36 months,10.38%,324.46,B,B1,Fully Paid
6000,6000,1900.0, 36 months,10.71%,195.61,B,B5,Fully Paid
30000,30000,30000.0, 60 months,13.49%,690.15,C,C1,Fully Paid
9000,9000,9000.0, 36 months,5.79%,272.95,A,A2,Fully Paid
6500,6500,6400.0, 36 months,7.51%,202.22,A,A4,Fully Paid
10000,10000,9750.0, 60 months,9.91%,212.03,B,B1,Fully Paid
2750,2750,2750.0, 36 months,14.84%,95.12,D,D1,Fully Paid
4000,4000,4000.0, 36 months,13.85%,136.42,C,C4,Fully Paid
26025,26025,26025.0, 60 months,17.14%,648.75,E,E3,Fully Paid
6000,6000,6000.0, 60 months,14.46%,141.05,D,D2,Fully Paid
5000,5000,5000.0, 36 months,13.49%,169.66,C,C2,Fully Paid
